24
5-50-2	5-50-5	5-50-8	5-50-10	5-100-2	5-100-5	5-100-8	5-100-10	8-50-2	8-50-5	8-50-8	8-50-10	8-100-2	8-100-5	8-100-8	8-100-10	10-50-2	10-50-5	10-50-8	10-50-10	10-100-2	10-100-5	10-100-8	10-100-10
2.072036358	6.525746485	7.107254605	6.554345825	0.67827866	4.727315202	6.07980207	5.539281619	0.985261429	6.052158401	6.586944826	5.717001034	0.584622899	4.359948181	4.964038453	4.045143067	1.283501579	4.752198043	6.367848395	5.888349308	0	5.439113137	4.32802169	4.839482663
2.51268457	5.528998512	7.712694457	7.719743559	1.438901829	5.812640963	5.465709169	5.952280324	1.195814603	5.734582072	5.307668905	6.811202763	0.544489753	4.145299393	5.716181169	4.374776664	0.594199657	5.429883861	4.580878989	6.400249251	0	4.287502064	4.291438575	4.500195758
3.821717679	7.28449102	9.254076742	8.656734332	1.37279445	6.890181955	7.500812929	7.805960013	1.168322022	5.101032895	6.638250368	6.442198112	0.251227355	3.938069165	6.80576589	4.560151575	1.583911161	7.157055524	6.66268418	6.628666679	0	4.784740564	4.774299549	4.647445809
4.088090566	9.050962194	10.40534169	10.18621705	3.325658678	8.431858946	8.902481112	9.12248069	2.93909586	8.143840644	8.165066115	8.955172129	1.517216126	7.313001168	6.029524468	6.937456152	1.840070125	7.706628342	7.66093687	7.695902188	0	5.260384683	6.501053982	7.18772228
2.749337875	5.9001577	9.660053417	7.485378695	2.452606067	6.028539894	7.020593082	8.063262906	2.205800666	6.68872544	6.362675424	7.090075918	0	6.31508264	5.750674286	4.952640578	1.366944971	6.534311834	6.632159707	6.125335993	0.024815299	5.536408152	5.259167034	4.987677807
3.735781838	9.425891514	8.790726599	11.31200698	2.240598876	7.268633557	6.777558064	9.013169874	1.711668532	7.542252842	6.603111127	7.741802467	0	5.558136484	4.67709912	7.484282371	0.492548184	5.107928165	5.809263762	6.75275661	0.431029866	5.950273921	6.112671568	4.849035789
2.104768996	8.081610673	9.141403031	9.889891793	1.372483843	6.557291728	7.904828259	7.549840844	1.497671469	7.807918881	8.897897833	8.324040257	1.201530564	6.263510236	8.563694062	7.841505805	0	7.027682148	7.482666996	8.767019861	0.980786753	6.031420428	7.117305107	7.155784341
3.485044026	8.137163888	7.906233139	7.866975544	1.106482592	5.813601018	7.719396065	6.862935678	1.718578673	5.595029141	7.733999132	8.14585619	0.105255871	4.706043742	4.991625362	5.12526555	1.054044307	5.167968457	6.552509878	6.43227164	0	4.719635341	6.797190269	5.889682364
2.745427281	8.187221534	8.259477723	8.252430008	1.515943061	6.459094341	6.83635239	7.107689434	1.98728469	6.582805696	6.500148994	6.926227868	0.969437206	4.221376268	5.134944934	5.945192723	1.245940294	4.714613712	6.243762686	7.114463452	0	4.774861415	5.23361295	5.244218735
3.209050318	6.394394221	7.026308519	7.053271503	1.178982739	4.097638218	4.907193059	5.886334564	1.227901296	4.493083644	6.114469423	6.305766542	0.080538783	2.859582032	4.1362268	4.802282539	0.743092836	3.677330819	4.937412611	5.00706115	0	3.156209873	3.011240063	4.64614235
1.695518601	4.839589895	4.631372565	4.308433131	1.182506836	3.128731152	3.870840848	3.670968832	0.777153091	3.188117934	3.458180624	4.152226849	0.285783739	2.330039531	3.430997753	3.285768503	0	3.099020447	3.174959347	3.105253462	0.406842742	1.987015937	2.549026126	2.793394943
2.074072467	5.043226415	5.763558197	6.301294081	0.884523461	4.141672723	5.358195302	4.708877053	1.75791038	3.725824122	4.720989851	5.295642647	1.206940814	3.326282601	2.646266547	4.081614943	1.570143943	4.172515159	3.652315714	5.621422657	0	2.08217177	2.93155004	3.7991879
3.62352703	7.027945307	5.940229265	5.877472523	1.211238855	4.334466441	4.78786703	5.413679957	2.077889214	3.543630275	4.794176444	4.423776707	0.223123835	3.39217059	4.22953447	4.55468862	0.923367608	4.134353412	5.031977259	4.121059779	0	2.991877051	3.269288841	3.567079703
2.851624358	8.60903612	7.363908128	7.055147667	2.351004971	5.513211518	5.271721647	7.206750875	1.209804267	4.531922873	5.87773459	6.936024512	0	3.917912106	6.219552726	4.783543321	1.151242418	3.193753521	5.612206813	3.750979734	0.293431298	2.876950803	4.389828189	3.455860006
