       Instance   Obj_Value     Obj_1     Obj_2      OBj_3  RelativeGap%      Status     CPUtime	Processing_Order        Vehicle_Routes
 2_10_3_2.0_1.5     10010.9      1829      5620     2561.9        43.752    Feasible     3609.04	7-4-2-9-3-10-6-8-1-5    | 7-4-2 | 9-10-3 | 8-1-6-5 |
 3_10_3_2.0_1.5     12393.7      1375      3740     7278.7       55.5184    Feasible     3609.56	5-6-8-9-3-2-4-1-10-7    | 8-6-9-5 | 3-10-7-2-4-1 |
 4_10_3_2.0_1.5     16803.9      2147      6760     7896.9       60.9783    Feasible      3609.5	1-3-4-9-8-7-6-2-5-10    | 4-3-9-1 | 7-8-6 | 10-5-2 |
 5_10_3_2.0_1.5     18831.4      2510      6300    10021.4       61.0241    Feasible     3609.85	5-4-2-8-3-7-1-6-9-10    | 5-2-4 | 8-3-7 | 1-10-6-9 |
 1_10_3_2.0_2.0     13538.1      2480      5950     5108.1       45.5652    Feasible     3608.94	10-2-9-7-5-3-4-8-1-6    | 2-7-10-9 | 5-4-3 | 1-8-6 |
 2_10_3_2.0_2.0     19938.3      2269      7950     9719.3       62.5423    Feasible     3610.81	1-9-7-5-6-3-10-2-4-8    | 1-9-7 | 6-5-3 | 2-10-4-8 |
 3_10_3_2.0_2.0     12415.4      2060      5390     4965.4       46.2639    Feasible     3615.15	3-4-8-7-10-9-2-1-6-5    | 4-8-3 | 7-10-9-2 | 5-6-1 |
 4_10_3_2.0_2.0     11244.1      2030      4220     4994.1       52.0968    Feasible     3617.75	1-3-7-10-5-4-8-9-6-2    | 10-1-7-3 | 5-4-8 | 9-6-2 |
 5_10_3_2.0_2.0     13405.1      1981      4850     6574.1       54.0809    Feasible     3609.12	6-10-2-5-1-7-3-8-4-9    | 10-2-6-5 | 1-3-7 | 8-9-4 |
 1_10_3_2.0_2.5     16283.9      1878      5890     8515.9       64.5459    Feasible      3609.1	1-3-6-9-10-5-2-8-4-7    | 3-9-6-1 | 8-5-10-2 | 4-7 |
 2_10_3_2.0_2.5     10890.9      1324      3940     5626.9       49.4837    Feasible      3609.4	1-10-6-7-2-3-8-9-4-5    | 2-3-1-6-7-10 | 5-4-8-9 |
 3_10_3_2.0_2.5     11094.1      1624      5350     4120.1       51.5465    Feasible     3608.25	5-7-8-3-1-6-2-9-10-4    | 3-7-8-5 | 2-9-6-1 | 4-10 |
 4_10_3_2.0_2.5     13707.6      2111      4670     6926.6       61.8006    Feasible     3617.08	10-4-8-2-5-1-3-9-7-6    | 10-4-8 | 5-3-1-2 | 9-6-7 |
 5_10_3_2.0_2.5     10288.1      1908      4640     3740.1       51.9934    Feasible     3610.27	5-10-3-1-8-4-7-9-6-2    | 5-10 | 1-8-3 | 4-2-7-6-9 |
 1_10_4_1.0_0.5     15177.2      3306      5430     6441.2       58.9208    Feasible     3621.31	8-10-1-7-3-5-2-6-4-9    | 10-1-8 | 7-3 | 5-2-6 | 4-9 |
 2_10_4_1.0_0.5     10688.1      1976      2840     5872.1       55.0251    Feasible     3609.31	5-3-4-2-6-8-9-10-1-7    | 3-5-2-4 | 8-6-9 | 10-7-1 |
 3_10_4_1.0_0.5     13607.2      2829      4650     6128.2       53.0882    Feasible     3635.19	9-5-4-8-10-3-2-1-7-6    | 5-9 | 8-4 | 2-10-3 | 1-6-7 |
 4_10_4_1.0_0.5     12224.9      3016      3940     5268.9       52.0478    Feasible     3609.12	2-6-7-3-10-1-9-4-8-5    | 2-6-7 | 1-10-3 | 4-9 | 8-5 |
 5_10_4_1.0_0.5     18748.8      2953      6350     9442.8       57.6182    Feasible     3611.99	8-9-7-1-10-4-3-2-6-5    | 8-1-7-9 | 10-4 | 2-3 | 5-6 |
 1_10_4_1.0_1.0      9736.2      3107      3020     3609.2       51.0178    Feasible     3661.69	3-7-9-1-2-5-4-6-10-8    | 3-7 | 2-1-9 | 6-5-4 | 8-10 |
 2_10_4_1.0_1.0      9823.8      2583      4470     2770.8       44.5162    Feasible      3607.4	5-8-3-9-7-4-1-10-6-2    | 3-5-8 | 7-9-4-1 | 10-6 | 2 |
 3_10_4_1.0_1.0     11968.6      2795      5080     4093.6       55.0734    Feasible     3607.84	7-4-10-9-3-1-5-2-8-6    | 7-4 | 10-9 | 1-3-5-2 | 8-6 |
 4_10_4_1.0_1.0     10231.5      2660      3000     4571.5       40.8092    Feasible     3618.29	1-3-2-10-6-5-4-9-7-8    | 3-2-1 | 4-10-5-6 | 9-8-7 |
 5_10_4_1.0_1.0     12870.3      2878      4920     5072.3       47.4492    Feasible     3615.25	8-6-1-3-4-7-5-2-10-9    | 8-1-6 | 7-3-4 | 10-5-2 | 9 |
 1_10_4_1.0_1.5     15118.6      3196      5640     6282.6        57.388    Feasible      3613.7	9-3-7-1-2-4-5-10-6-8    | 7-9-3 | 2-4-1 | 10-5 | 6-8 |
 2_10_4_1.0_1.5     13446.2      2603      3420     7423.2        56.147    Feasible     3613.47	5-7-2-6-4-10-8-1-3-9    | 7-6-2-5 | 8-1-10-4 | 3-9 |
 3_10_4_1.0_1.5     15187.8      3443      4880     6864.8       53.2934    Feasible     3608.74	8-7-4-2-1-9-10-5-3-6    | 4-8-7 | 2-1 | 10-5-9 | 6-3 |
 4_10_4_1.0_1.5       12597      3003      4540       5054       35.2399    Feasible     3608.02	6-9-1-2-8-7-10-3-4-5    | 1-6-9 | 2-8 | 10-7 | 4-5-3 |
 5_10_4_1.0_1.5     15996.9      2869      6760     6367.9       52.6531    Feasible     3609.29	3-4-9-5-7-1-10-2-8-6    | 9-3-4 | 5-7 | 10-1-2 | 8-6 |
 1_10_4_1.0_2.0     11616.4      3456      2980     5180.4       51.2708    Feasible     3608.64	9-8-7-1-4-5-6-10-3-2    | 9-8-7 | 5-4-1 | 6-10 | 2-3 |
 2_10_4_1.0_2.0     10994.2      2539      5780     2675.2       37.4261    Feasible     3609.44	6-7-1-4-3-9-8-2-10-5    | 6-7 | 1-3-9-4 | 8-2 | 10-5 |
 3_10_4_1.0_2.0     12169.5      2908      4960     4298.5       48.2796    Feasible     3615.49	1-3-10-6-4-5-2-9-8-7    | 3-1 | 4-10-6-5 | 2-9-8 | 7 |
 4_10_4_1.0_2.0     12460.7      2808      5110     4542.7       50.9718    Feasible     3607.92	10-6-2-3-5-4-1-9-7-8    | 10-3-6-2 | 5-4 | 9-1 | 7-8 |
 5_10_4_1.0_2.0     14208.2      2848      5100     6260.2       51.3098    Feasible     3624.46	3-6-7-10-1-2-8-5-4-9    | 7-6 | 3-10 | 1-2 | 8-4-5-9 |
 1_10_4_1.0_2.5     12034.3      2670      4430     4934.3        48.734    Feasible     3615.65	6-10-5-4-8-9-1-2-7-3    | 6-10 | 5-8-4 | 1-9 | 2-3-7 |
 2_10_4_1.0_2.5     10933.3      2803      4320     3810.3        45.348    Feasible     3609.62	8-7-3-1-9-6-4-10-5-2    | 8-7 | 9-1-3 | 10-4-6 | 2-5 |
 3_10_4_1.0_2.5       11956      2787      5250       3919       44.0243    Feasible     3625.05	6-2-4-1-3-8-5-10-7-9    | 2-4-6 | 8-3-1 | 5-10 | 7-9 |
 4_10_4_1.0_2.5      8070.3      3035      2700     2335.3       35.0238    Feasible     3616.18	4-6-10-2-9-1-8-3-7-5    | 4-6 | 2-9-10 | 3-8-1 | 7-5 |
 5_10_4_1.0_2.5     11766.1      3149      4260     4355.1       49.0247    Feasible     3617.33	4-1-9-6-5-7-3-10-8-2    | 4-1 | 5-6-9 | 10-3-7 | 8-2 |
 1_10_4_1.5_0.5     11861.4      3413      3630     4818.4       52.7264    Feasible     3632.71	3-8-5-6-4-1-7-2-10-9    | 3-8 | 5-6 | 1-7-4 | 10-2-9 |
 2_10_4_1.5_0.5     13437.7      3150      4070     6217.7       56.4107    Feasible     3657.87	1-6-5-8-9-4-10-7-2-3    | 6-1 | 5-8-9 | 4-10 | 7-3-2 |
 3_10_4_1.5_0.5     14134.6      3007      5110     6017.6       50.8126    Feasible     3608.35	8-6-4-9-2-1-7-3-5-10    | 6-8 | 4-1-9-2 | 3-7 | 10-5 |
 4_10_4_1.5_0.5     15874.4      2874      5210     7790.4       56.4595    Feasible     3608.71	4-8-5-7-1-9-10-6-3-2    | 8-4 | 7-5-1 | 6-10-3-2-9 |
 5_10_4_1.5_0.5       12896      2661      3430       6805       59.1199    Feasible     3618.77	7-3-8-6-4-10-2-5-9-1    | 8-7-3 | 4-2-6-10 | 5-9-1 |
 1_10_4_1.5_1.0     16510.8      3585      4860     8065.8       55.4457    Feasible     3628.23	10-7-6-1-9-2-3-8-5-4    | 10-7-6 | 3-9-1-2 | 5-8-4 |
 2_10_4_1.5_1.0     12429.5      3014      4970     4445.5       43.4801    Feasible     3614.84	10-8-7-9-2-1-3-4-5-6    | 10-8-7 | 2-9 | 1-4-3 | 6-5 |
 3_10_4_1.5_1.0     11205.3      3643      3440     4122.3       48.4642    Feasible     3607.98	6-1-9-5-7-3-2-8-4-10    | 6-9-1 | 5-7-3 | 8-2 | 4-10 |
 4_10_4_1.5_1.0     14040.4      2572      4550     6918.4       48.5689    Feasible        3609	2-9-1-6-4-8-10-7-5-3    | 1-2-9 | 4-6-8 | 5-3-10-7 |
 5_10_4_1.5_1.0       15338      3384      5630       6324        57.797    Feasible     3609.17	2-6-9-8-7-1-10-4-3-5    | 2-6-9 | 7-8 | 4-1-10 | 5-3 |
 1_10_4_1.5_1.5     12983.4      3384      4620     4979.4       49.3965    Feasible      3608.5	3-1-2-9-10-7-6-8-4-5    | 1-3 | 2-9 | 7-6-10-8 | 4-5 |
 2_10_4_1.5_1.5     12427.5      2632      3350     6445.5       51.6251    Feasible     3630.82	1-10-2-4-8-7-6-9-5-3    | 1-4-10-2 | 7-8-6 | 5-9-3 |
 3_10_4_1.5_1.5     12469.3      2964      4380     5125.3       50.6896    Feasible     3607.57	5-2-1-3-10-9-4-8-6-7    | 2-3-5-1 | 9-4-10 | 7-6-8 |
 4_10_4_1.5_1.5       11113      3225      3880       4008       43.0076    Feasible     3631.14	1-6-8-5-3-9-2-4-10-7    | 1-6-8 | 3-2-5-9 | 4 | 7-10 |
 5_10_4_1.5_1.5      7811.8      3060      2070     2681.8       43.4662    Feasible     3614.21	9-4-2-3-10-7-8-1-6-5    | 2-9-4 | 3-7-10 | 1-6-8 | 5 |
 1_10_4_1.5_2.0     13995.5      2735      4740     6520.5       43.7345    Feasible     3609.04	6-8-7-4-10-5-9-1-2-3    | 8-7-6 | 9-4-10-5 | 3-1-2 |
 2_10_4_1.5_2.0     11344.1      3189      4610     3545.1       50.2461    Feasible     3619.39	2-10-4-3-1-8-5-9-6-7    | 10-2 | 4-3 | 1-5-8 | 6-7-9 |
 3_10_4_1.5_2.0     11475.8      3194      3910     4371.8       49.5837    Feasible     3626.46	8-7-4-2-3-6-5-9-1-10    | 8-7-4 | 2-3 | 6-5-9 | 1-10 |
 4_10_4_1.5_2.0     14483.3      3071      5330     6082.3       37.5753    Feasible     3613.16	1-5-8-7-4-2-3-10-9-6    | 1-5 | 8-7-4 | 10-3-2 | 6-9 |
 5_10_4_1.5_2.0       15184      3122      5380       6679        63.227    Feasible     3644.07	4-8-6-7-1-9-10-2-5-3    | 4-8 | 6-7 | 9-10-1 | 3-2-5 |
 1_10_4_1.5_2.5     12379.7      2459      4400     5520.7       41.1341    Feasible     3608.75	8-1-2-10-9-7-5-4-3-6    | 1-2-8-10 | 5-7-9 | 4-6-3 |
 2_10_4_1.5_2.5     12623.3      3155      5100     4368.3       43.6949    Feasible      3620.5	5-10-9-3-6-4-2-8-1-7    | 10-9-5 | 3-6-4 | 2-8 | 7-1 |
 3_10_4_1.5_2.5     10786.6      3011      3860     3915.6       48.9176    Feasible     3630.26	4-5-10-2-9-6-3-8-1-7    | 4-10-5 | 9-2 | 8-3-6 | 7-1 |
 4_10_4_1.5_2.5      6870.5      2360      1790     2720.5       36.8944    Feasible     3612.33	6-3-8-7-9-4-5-2-10-1    | 6-8-3-7 | 9-2-5-4 | 1-10 |
 5_10_4_1.5_2.5     12911.4      3262      4930     4719.4       48.3602    Feasible     3645.72	2-7-9-1-5-3-6-10-8-4    | 7-9-2 | 5-1 | 3-6 | 8-10-4 |
 1_10_4_2.0_0.5     17520.5      2843      5250     9427.5       60.1962    Feasible     3639.81	2-7-3-1-5-4-8-10-9-6    | 2-7-3-1 | 5-4 | 6-8-10-9 |
 2_10_4_2.0_0.5     14792.7      2700      5290     6802.7       56.5421    Feasible     3618.01	8-10-1-3-7-2-4-6-9-5    | 8-1-3-10 | 7-2-4 | 5-6-9 |
 3_10_4_2.0_0.5     10412.8      2904      3180     4328.8       58.6914    Feasible     3630.32	9-4-8-7-5-1-6-10-3-2    | 4-9 | 5-7-8 | 6-1 | 10-2-3 |
 4_10_4_2.0_0.5     18423.7      2742      6790     8891.7       60.5076    Feasible     3609.33	1-7-8-2-10-4-5-6-3-9    | 8-1-7 | 5-4-10-2 | 3-6-9 |
 5_10_4_2.0_0.5     15725.9      3380      5790     6555.9       52.2366    Feasible      3622.4	3-9-8-10-5-1-6-2-7-4    | 8-3-9 | 5-10-1 | 6-2 | 4-7 |
 1_10_4_2.0_1.0     14227.2      2820      4280     7127.2        56.194    Feasible     3627.69	1-6-9-4-10-8-2-7-5-3    | 1-9-6 | 8-10-4 | 2-5-7-3 |
 2_10_4_2.0_1.0     12453.9      2173      4800     5480.9       55.1045    Feasible     3637.92	6-5-7-1-2-3-8-4-9-10    | 7-6-5 | 1-3-8-2 | 4-9-10 |
 3_10_4_2.0_1.0     10616.5      3032      3090     4494.5        56.689    Feasible     3610.03	9-6-10-5-3-1-2-4-7-8    | 10-6-9 | 5-1-3 | 4-2 | 8-7 |
 4_10_4_2.0_1.0     12424.2      2920      5190     4314.2       56.5904    Feasible      3618.5	10-1-8-5-9-7-2-3-4-6    | 1-10 | 9-8-5 | 7-2 | 4-3-6 |
 5_10_4_2.0_1.0     19393.9      3221      7770     8402.9        59.895    Feasible     3609.56	8-10-4-3-2-5-7-9-6-1    | 8-10-4 | 3 | 9-5-2-7 | 6-1 |
 1_10_4_2.0_1.5       16914      3268      4630       9016       63.2916    Feasible      3649.1	2-3-4-9-10-7-8-5-1-6    | 3-2 | 4-9-10-7 | 6-5-8-1 |
 2_10_4_2.0_1.5     12609.3      3002      5670     3937.3       51.0377    Feasible     3621.79	7-3-8-5-6-4-10-1-9-2    | 7-3 | 5-6-8 | 10-4-1 | 9-2 |
 3_10_4_2.0_1.5     13731.6      3669      6020     4042.6       53.1491    Feasible     3631.69	5-10-7-4-8-6-9-2-3-1    | 5-10 | 7-4-8 | 6-9-2 | 3-1 |
 4_10_4_2.0_1.5     15909.9      3418      5620     6871.9       61.1604    Feasible     3626.29	4-3-1-6-7-2-9-8-10-5    | 4-1-3 | 7-2-6 | 9-8 | 10-5 |
 5_10_4_2.0_1.5     11631.3      3021      3410     5192.3       54.2037    Feasible      3633.8	8-9-5-4-6-2-1-3-7-10    | 9-5-8 | 6-4-2 | 3-1 | 7-10 |
 1_10_4_2.0_2.0     11147.5      2713      4680     3754.5       56.9389    Feasible     3624.12	9-10-3-4-1-2-5-7-8-6    | 9-3-10 | 4-1 | 2-7-5 | 6-8 |
