       Instance   Obj_Value     Obj_1     Obj_2      OBj_3  RelativeGap%      Status     CPUtime	Processing_Order                                      Vehicle_Routes
 3_20_3_1.5_2.5     53668.3      3267     10720    39681.3       75.6165    Feasible     3616.54	11-7-14-9-6-13-2-20-16-8-19-3-18-17-10-15-5-1-12-4    | 14-7-11 | 8-3-19-20-16-2-9-6-13 | 5-18-1-15-4-10-12-17 |
 4_20_3_1.5_2.5     51839.2      3046     14080    34713.2       68.3256    Feasible      3615.9	8-13-9-7-12-3-6-14-18-1-17-16-10-19-15-4-2-20-5-11    | 6-13-12-3-8-9-7 | 18-1-17-14 | 11-15-19-4-20-2-10-5-16 |
 5_20_3_1.5_2.5     76689.9      4211     14440    58038.9        81.978    Feasible     3607.29	5-14-20-1-19-16-13-6-11-2-8-10-9-12-17-15-3-18-4-7    | 5-6-1-19-13-20-14-16 | 10-15-8-2-3-17-12-11-9-18 | 7-4 |
 1_20_3_2.0_0.5     58151.3      2314     10720    45117.3         77.86    Feasible     3610.12	9-16-20-11-4-13-8-6-17-10-14-5-15-19-1-18-7-12-2-3    | 9-16-20-8-11-6-17-13-4 | 10-14-15-5-19-2-12-7-3-18-1 |
 2_20_3_2.0_0.5     58984.7      2487     11080    45417.7       77.5891    Feasible      3607.4	7-5-1-9-12-4-13-2-19-10-3-8-11-16-6-17-20-15-14-18    | 9-1-4-19-12-5-2-7-13 | 16-17-18-8-3-15-6-10-11-14-20 |
 3_20_3_2.0_0.5       51971      2868     12000      37103       72.6116    Feasible     3619.16	1-18-16-3-2-7-19-12-4-6-13-10-11-5-8-9-14-17-20-15    | 19-7-2-1-3-16-18 | 13-10-6-12-4-11 | 17-8-5-15-9-20-14 |
 4_20_3_2.0_0.5     57603.5      2956     14940    39707.5       76.2074    Feasible     3607.01	10-5-8-15-19-18-3-2-4-11-12-9-7-16-1-20-17-14-6-13    | 18-8-19-3-5-10-15 | 12-9-11-2-16-4-7 | 14-6-13-1-20-17 |
 5_20_3_2.0_0.5     44147.1      2958      7120    34069.1       79.1303    Feasible     3613.69	3-4-10-8-18-6-20-14-11-13-1-17-5-19-16-12-2-9-15-7    | 6-20-3-18-4-14-8-10 | 1-17-16-13-11-5-19 | 9-12-7-15-2 |
 1_20_3_2.0_1.0       72463      3409     16320      52734       80.0691    Feasible     3609.89	11-7-12-3-19-16-14-4-9-2-8-5-6-15-17-1-18-20-10-13    | 11-12-3-16-7-19-14 | 6-5-8-15-4-1-17-9-2 | 18-13-20-10 |
 2_20_3_2.0_1.0     53157.2      2555     13840    36762.2       70.3957    Feasible     3607.95	13-17-12-15-19-1-9-11-7-2-8-4-18-3-6-20-14-10-5-16    | 12-11-2-19-15-17-1-9-13-7 | 6-4-8-10-20-5-14-3-16-18 |
 3_20_3_2.0_1.0     58224.1      3209     13820    41195.1       72.3768    Feasible     3618.54	20-14-12-17-19-8-5-2-3-6-9-13-1-11-18-10-7-16-15-4    | 8-14-5-19-17-12-20 | 13-6-3-2-9-1 | 11-10-7-15-4-18-16 |
 4_20_3_2.0_1.0       71778      3911     17000      50867       78.0017    Feasible     3611.03	9-11-18-12-4-17-20-6-7-8-16-19-5-15-13-1-14-3-10-2    | 18-4-11-17-9-12-20 | 5-16-7-8-19-15-6 | 2-1-13-14-3-10 |
 5_20_3_2.0_1.0     73607.4      3367      9200    61040.4        84.526    Feasible     3612.12	5-13-14-7-8-20-11-12-3-6-16-17-9-4-15-18-19-10-2-1    | 7-5-13-9-3-14-17-6-20-8-11-12-16 | 1-4-15-19-18-2-10 |
 1_20_3_2.0_1.5     56223.9      2967     10440    42816.9       76.9897    Feasible     3627.32	11-8-3-10-20-9-19-15-4-12-7-5-16-1-6-14-2-18-17-13    | 10-20-3-8-11 | 12-4-7-19-15-9 | 5-16-18-2-6-17-13-1-14 |
 2_20_3_2.0_1.5     51554.3      2779     19640    29135.3       72.4374    Feasible     3609.18	17-1-16-5-15-3-14-9-8-20-13-6-19-12-7-10-18-11-2-4    | 1-5-15-17-14-16-3 | 8-13-6-9-20-19 | 10-4-2-11-12-7-18 |
 3_20_3_2.0_1.5     50864.5      3662     10420    36782.5       75.5731    Feasible     3608.54	2-12-9-6-3-5-7-11-1-17-10-16-20-19-14-18-15-8-4-13    | 11-6-9-12-3-7-2-5 | 1-16-20-10-17-19 | 13-18-8-15-4-14 |
 4_20_3_2.0_1.5     73022.7      2455     22640    47927.7       77.6133    Feasible     3607.21	5-20-13-14-2-6-8-19-18-16-10-4-15-3-7-12-9-1-17-11    | 2-5-13-20-14 | 18-19-4-8-6-10-16 | 15-12-11-9-7-1-17-3 |
 5_20_3_2.0_1.5     69485.5      2454     12920    54111.5       78.5762    Feasible     3609.64	14-16-18-19-20-8-4-7-1-13-12-2-5-11-6-3-17-10-15-9    | 1-18-12-7-8-20-13-16-14-4-19 | 6-2-15-5-10-11-9-17-3 |
 1_20_3_2.0_2.0     53138.8      3239     12600    37299.8        71.793    Feasible     3613.78	17-20-10-19-15-4-1-18-11-5-16-2-9-14-12-6-7-8-13-3    | 20-10-15-17-19 | 11-5-12-16-2-14-4-9-1 | 8-13-6-3-7-18 |
 2_20_3_2.0_2.0     68834.6      3551     19660    45623.6       81.1048    Feasible     3607.56	13-10-11-16-7-9-15-12-14-19-18-4-6-8-17-20-5-3-1-2    | 7-11-10-16-9-13-15 | 19-12-18-14 | 17-20-2-1-6-8-5-3-4 |
 3_20_3_2.0_2.0     51511.9      2864     11860    36774.9       77.4753    Feasible     3607.07	15-1-13-2-3-17-18-8-10-4-6-12-14-20-19-7-11-5-9-16    | 3-15-1-8-10-17-2-18-13 | 4-12-14-7-19-6-11-20 | 5-16-9 |
