       Instance   Obj_Value     Obj_1     Obj_2      OBj_3  RelativeGap%      Status     CPUtime	Processing_Order                       Vehicle_Routes
 4_15_3_2.0_2.5       23714      2067     10605      11042       65.2737    Feasible     3606.14	3-11-2-9-13-5-7-8-12-1-10-14-6-15-4    | 11-9-3-2 | 1-12-8-7-5-13 | 14-15-10-4-6 |
 5_15_3_2.0_2.5     31996.8      2583     10515    18898.8       73.2702    Feasible      3608.4	7-2-14-6-3-10-12-15-1-5-9-4-11-13-8    | 2-14-6-3-7 | 1-15-10-12 | 11-5-9-4-8-13 |
 1_15_4_1.0_0.5     31338.5      3773      7290    20275.5       73.6371    Feasible     3627.37	4-10-8-5-13-9-3-2-7-12-1-6-15-14-11    | 5-10-4-8 | 3-13-2-9 | 12-7-1-6 | 14-11-15 |
 2_15_4_1.0_0.5     35581.3      3722      9750    22109.3       71.1977    Feasible     3632.42	12-7-1-4-15-13-10-5-2-14-11-8-3-6-9    | 1-7-12 | 4-13-15-10 | 11-14-5-2 | 8-6-9-3 |
 3_15_4_1.0_0.5     20582.3      3440      5040    12102.3       65.5044    Feasible     3675.54	9-3-4-13-6-5-11-1-15-14-2-8-7-10-12    | 9-3 | 4-13-5-6 | 15-11-2-14-1 | 10-12-7-8 |
 4_15_4_1.0_0.5     30388.4      3626      7995    18767.4       71.7689    Feasible     3608.14	6-8-1-3-9-10-11-12-4-5-14-2-7-15-13    | 6-3-8-1 | 10-12-9-11 | 5-14-4 | 13-15-2-7 |
 5_15_4_1.0_0.5     30585.8      3643      6915    20027.8       73.6168    Feasible     3682.77	3-10-1-9-6-11-8-4-12-2-13-14-5-15-7    | 3-10-1 | 9-6-11 | 2-14-8-12-13-4 | 15-5-7 |
 1_15_4_1.0_1.0     28768.9      3466      7350    17952.9       64.5969    Feasible      3698.9	4-3-5-6-1-12-14-15-11-2-7-13-10-8-9    | 5-6-3-4 | 12-1-14 | 15-11-2 | 10-9-8-13-7 |
 2_15_4_1.0_1.0     26843.7      3407      6195    17241.7       66.5369    Feasible     3690.39	1-14-12-7-6-5-9-3-4-13-2-15-8-11-10    | 1-7-14-12 | 6-5-9 | 3-4-13-2 | 11-8-10-15 |
 3_15_4_1.0_1.0     29862.6      3998      8895    16969.6       68.0323    Feasible     3661.92	2-3-8-6-10-1-4-5-11-12-15-9-13-7-14    | 3-8-2 | 10-1-6 | 4-11-5-12 | 13-14-9-15-7 |
