       Instance   Obj_Value     Obj_1     Obj_2      OBj_3  RelativeGap%      Status     CPUtime	Processing_Order    Vehicle_Routes
  3_8_3_2.0_1.5     10438.3      2280      4224     3934.3    0.00120879     Optimal     605.593	4-8-3-1-2-6-5-7    | 8-4 | 3-1 | 5-7-2-6 |
  4_8_3_2.0_1.5      8618.2      1959      3080     3579.2             0     Optimal     776.444	7-4-5-2-8-1-3-6    | 5-4-7 | 2-8-1 | 6-3 |
  5_8_3_2.0_1.5     11593.9      1643      6216     3734.9    0.00763648     Optimal     860.053	2-5-6-1-8-3-4-7    | 5-6-2 | 8-1 | 3-4-7 |
  1_8_3_2.0_2.0      8802.6      1630      3752     3420.6    0.00977731     Optimal     720.621	4-7-1-6-5-8-3-2    | 7-4 | 1-6-5 | 2-8-3 |
  2_8_3_2.0_2.0      8702.7      2078      4088     2536.7    0.00608045     Optimal     498.289	8-5-2-6-4-7-3-1    | 8-2-5 | 7-6-4 | 1-3 |
  3_8_3_2.0_2.0      9415.6      1755      3328     4328.6    0.00872265     Optimal     458.858	7-6-3-4-1-2-5-8    | 3-4-6-7 | 2-5-1-8 |
  4_8_3_2.0_2.0     11598.3      2049      5176     4373.3    0.00701364     Optimal     928.934	4-8-6-2-5-1-7-3    | 6-4-8 | 5-2-1 | 7-3 |
  5_8_3_2.0_2.0      5675.3      1430      2672     1573.3    0.00683611     Optimal      463.22	2-5-8-1-4-3-6-7    | 8-5-2 | 4-1 | 3-6-7 |
  1_8_3_2.0_2.5     10304.8      1451      3160     5693.8    0.00970422     Optimal     2180.98	8-4-3-5-6-7-1-2    | 3-8-5-6-4 | 7-2-1 |
  2_8_3_2.0_2.5      8654.5      1937      3640     3077.5    0.00963425     Optimal      1302.3	6-5-3-4-1-7-2-8    | 3-6-5 | 4-1 | 2-8-7 |
  3_8_3_2.0_2.5        5178      1356      1464       2358    0.00193655     Optimal     92.3483	5-7-6-3-1-2-4-8    | 7-6-5-3 | 8-1-2-4 |
  4_8_3_2.0_2.5     10164.9      1565      4112     4487.9    0.00934589     Optimal     740.826	4-6-5-8-3-1-7-2    | 6-4 | 3-5-8 | 1-2-7 |
  5_8_3_2.0_2.5      5846.6      1928      1944     1974.6             0     Optimal      117.75	7-8-3-4-1-2-6-5    | 3-7-8 | 1-4 | 5-6-2 |
  1_8_4_1.0_0.5     10227.9      3355      2296     4576.9    0.00125795     Optimal     973.452	2-7-6-8-4-1-3-5    | 2-7 | 8-6-4 | 1- | 5-3 |
  2_8_4_1.0_0.5        5977      2949       840       2188             0     Optimal     240.931	3-2-7-5-1-6-4-8    | 3-2 | 7-5 | 1-6 | 4-8 |
  3_8_4_1.0_0.5      7535.7      2533      1896     3106.7    0.00987917     Optimal     1062.05	7-4-2-5-1-6-8-3    | 4-2-7 | 5- | 1-6-8 | 3- |
